,0
167,"From the moment we walked in, I knew we would enjoy Little Katana. The greeter and servers were extremely friendly. I loved the ambiance of the black cloth tablecloths and Edison bulb lighting. It was my first time to try sushi in many years, and our server took time to help me pick out something I would like. I got the Sunshine Roll and it was fabulous. Very delicious. The udon was good too. The broth has really good flavor. My husband was scared to try sushi, so he got grilled salmon. The orange ginger flavor was unique and delicious.Their bathrooms are nice too, which you don't usually see in a restaurant this size.On our way out, we were repeatedly thanked by every single member of the staff: multiple servers, the greeter, and even the bartender said goodnight.I have not felt so welcomed at a meal in a very long time! Truly gracious service."
168,"Love this place!!!! Wonderful customer service, fresh sushi&sashimi! Very impressed:) I'll definitely come back for more."
169,"Great sushi was surpassed by and with informative and entertaining Sushi Specialist Nuke.  Would have given 13 Stars but your only allowed to provide five.   Have been wanting to try Little Katana in downtown Dallas for a long time and this was the next best option.  We reccomed you eat at the Sushi bar and meet ""The Nuke"" in person.You will not be disappointed!!!!"
170,Good food with nice options on the menu. Quiet the night we went but looks like a nice spot for a date night or night out with friends
171,Great food! Our party of 12 from work enjoy the various dishes. My Seafood Stone Bowl is delicious.
172,"Overall great experience. New to this area and trying to find some go to spots. The service was great. They even have happy hour on Friday which was a a great surprise. With some appetizers half off and discounted drinks what's not to like. The sushi was also really really good. It is a little crowded with the way the tables are set up inside. They are really close to each other, so if you want more of a roomy private feel this is probably not the place to go."
173,"My first time at this restaurant. I have eatenat their smaller version, which is a sushi bar in the Galleria Mall in north Dallas, which has excellent sushi. Today's service was very fast and very friendly and I was impressed. I ordered a Bento box with hot tea and they brought the mug out which was huge compared to what you normally get at a Japanese restaurant. I had the bulgogi which was very tasty indeed. The California roll was excellent as was the steamed rice and the shrimp Tempura. I gave it five stars and when I am back in the area, I will definitely eat here again. I think salmon teriyaki is next on my list..."
174,"My new go-to sushi place. I used to love Blue Fish which is across the street but it's always such a pain to get a table there so I ventured to a few different places.  I hear they have great happy hour specials too although I don't usually go at that time. Sushi rolls are good, their sashimi is very fresh. I'm giving it four stars because I reserve 5 for the best / on par with the top sushi places and I'd say this is as good as it gets locally but comparing it to NYC or SF, it's obviously not the same. But if you are stuck in Dallas and want decent sushi, I've searched and searched all the local areas and this is my go to."
175,Nothing extraordinarily unique about the menu but the service was outstanding! I got the scallop dynamite and was so sad to leave any behind but the portions are huge!! Definitely a good value.
176,"This place gets a 4 stars for the food. I loved every sushi roll I ordered, I even took an extra roll home. But when it came to getting the bill it was certainly an unpleasant experience. *I updated this review and deleted the bill experience because I appreciate the fact the establishment took the time to react to my review, hoping it would help everybody in the end. I hope this was just one of those days.But all by all... the sushi was very good and we will certainly be back for more, soon ..."
177,"Tried this place for the first time today and was thoroughly impressed. It's smaller, more intimate, and less crowded than Blue Fish, my typical sushi haunt in this area, which made for a much calmer dining experience.I sat at the sushi bar and had the yellowtail diamond back roll and the chef's choice 6 piece Sushi plate, both of which were extraordinary. The chef I spoke to during my meal, Nuke, was especially helpful and friendly, and the wait staff in general was attentive and quick. It's a bit pricey, as good sushi typically is, but definitely worth the money for a nice meal out."
178,Good sushi - nothing mind blowing. My boyfriend and I ate here and we enjoyed our meal. It was nothing to rave over but we would come back here again if we wanted some sushi and were in the area.
179,Great place! It was our first time going We went for happy hour had three rolls and love the dumplings so much we ordered another round. Their team was friendly and recommend things for us to try. We will be back for more
180,"First time going in, even though I pass the restaurant all the time.  We went for Happy Hour, not knowing that it's over at 6 on Fridays.  The server was great, we rushed to get our order in time before she said the ""happy hour button"" went away.  Food was good, great service.  We will come back earlier."
181,I'm jealous of you people that can afford to eat here for lunch. We came here on a Sunday evening date night. I was surprised how many people were here.We had the:Yellowtail sashimiBrussels sproutsBeef stonebowlCocktailsAll was good. I look forward to exploring the menu further.
182,"First time visiting this restaurant. Very nice ambiance. Staff was extremely helpful and friendly. Very good sushi menu and it was delicious. My friend had seafood rice bowl. It came out steaming hot, they mix it for you and it was delicious. It included all types of seafood and fish. I will be back!"
183,"This little random restaurant is the cutest thing I have seen. It reminds me of my days in DC, where you can find a quiet, tucked away eating joint that makes you feel like you found a treasure. Atmosphere: I like sitting outside, in the patio. It is place between 2 building walls. You look on to the locals walking by with their dogs, friends, coffees, book bags, etc. It can get a bit loud, but not so loud that you cannot have a conversation. Food: A-to-the-mazing. Go for the Hot Pot. Wow. The sauce is mixture of all the flavors, that ends with a spicy note. Drinks: Delicious and perfectly potent. These drinks were made with perfection. They did not leave you begging for more alcohol or mixer in them."
184,Nice and welcoming ambiance. Great service and recommendations by our server. The staff was also quite attentive to my family. The sushi itself was really delicious. Made fresh and brought out fairly quickly. We will definitely be going back again soon.
185,"This seems to be an upscale restaurant given the black tablecloths and people dressed up in suits dining here on a weekday, but it's not really the type of place to bring clients too if you're looking to impress.The prices are very decent but so is the food. I ordered tonkotsu ramen and was full at the end of the the meal, but not necessarily satisfied. The broth was too thin and lacked the creamy flavor I was looking for, and the noodles were mostly likely from a package."
186,"Wonderful happy hour and nice waitstaff. Must get the Sizzling dumplings!  Even when it's not happy hour, prices are very reasonable."
187,"This is a good place. It's pricy though and set like spirit airlines. Base dish price is listed and then tog pay more for anything and everything. Want tofu, 4 more, mushrooms 2 more, avocado 3 more. You get the gist. Nice ambiance so it is expected to be charged extra but I just didn't like theserver telling me it was gonna be so and so more for everything that I wanted in a dish. Still 4 for food, ambiance and decent service"
188,Update 12/26 - found out from management that there is no alcohol/sake in the sushi rice. Knowing that I might give the place another try. Previous review:We wanted to get sushi at little katana but found out that they put Sake in their sushi rice :/ which is not ok due to religious restrictions. They should put that on their menu.Also - not sure if the waitress was having a bad day but she wasn't the friendliest and got annoyed when we were asking questions regarding dietary restrictions.We had appetizers but left before the main course since we could not eat the sushi. I recommend the brussel sprouts - they were delicious!
189,Great food! We got sushi as well as some spicy chicken! I honestly didn't expect much from the chicken but it was well seasoned and cooked perfectly. They have a wasabi mashed potatoes.... you need this if you love wasabi!
190,"Best restaurant I will likely not go to again. My wife and I went last night. The service was prompt, courteous and very attentive.  We had two rolls and two different types of sushi with miso soup.The soup was very good and the entrees were fresh and nicely presented. Thay also had tamari avaliable which is a plus for my wife. So if you want very good sushi and a nice experience, go hereNow, why will I not return?  Upon walking up to the door, they have both 30.06 and 30.07 signs. These are signs in Texas that make concealed or open carry of firearms unlawful.  We consider not going in but chose to leave our weapons in the car and eat. As I said, the restaurant was great but law abiding citizens leave their weapons in the car. Criminals do not.  I will frequent establishments that respect our 2nd Amendment rights"
191,This place is fantastic! The staff is very cordial and quick to meet your needs!  Great wine list and a few local brews that seem to be very popular! Warm sake as well as many other varieties of sake.
192,Love this little place!! By far the best happy hour prices in the area and the food is always delicious!!
193,"This is a restaurant in a strip joint in Irving where there are quite a few lunch spots, I had to buy quick business lunch in the area and this place showed up on Yelp! As nearest with good ratings. The service was fast and good, food quality was good. Menu had almost all American versions of sushi rolls and most fried and grilled preparations of salmon and Tuna and regular steak thus keeping it quite  diverse for  business lunch attendees. If you are stuck in this area due to traffic I would recommend this spot for lunch. The place is little and dark for lunch ambiance but they turn tables fast and that's best for lunch."
194,"My husband and I just ate at this place for the first time this morning. We arrived there at 10:30AM ready for sushi! Right of the bat, the decor and ambiance was so calm and inviting. And the MUSIC, it was like Amy Winehouse Radio from Pandora.. I LOVED IT. Everything about the environment was great! Service was quick, professional, and friendly. As for the food, we were pleasantly surprised with the 4 sushi rolls we had. Coming from California, we are pretty picky when it comes to seafood. This restaurant definitely did not disappoint. We will be back!!!"
195,"Stopped in for an early Saturday lunch. The service was absolutely amazing. The waitress explained the menu, let us know the best drinks and dishes. They served American style brunch food which looked delicious (a server even stopped on his way to drop off food to another table as we looked at the menu to show us the dishes)... but we stopped in for sushi so we stuck with that. The food was great, and I highly recommend the flavored mimosas."
196,"This is my favorite sushi place! Everything my husband and I have had here is awesome. Since the first time I've tried this place, I've been back every week. And I've brought friends and coworker with me here. My favorite place to sit is at the sushi bar and chit chat with Nuke, one of the sushi bar chefs.I can't say much more than this place is absolutely amazing."
197,"Just have saturday lunch at this place. I ordered a spicy chicken bento box for $12. There is a lot of food, a miso soup, salad (not the normal ginger based dressing), spicy chicken, 2 shrimp tempura, a cucumber tempura, an onion tempura, 4 pieces of California roll and a wasabi mashed potato. I am a little sad that they didn't have the sweet potato tempura I like, and salad isn't the ginger dressing I like, but the wasabi mashed potatoe is really good. Overall it is a nice restaurant, the service is nice and the atmosphere is good."
198,"The bartender was full of energy, helpful and a great conversationalist. Service was on point at 6PM on a Monday. All that we ordered was the Little Katana and Little Katana 101. Both sicker than dogs all night and morning. Severe stomach cramps and some TMI stuff. We won't be coming back."
199,"I tried out this new establishment about a week ago. I thought it was right up there with Blue Fish in terms of quality and price. This is by no means cheap, which isn't necessarily a bad thing. However, my go to place for Sushi in the greater Dallas area is Tei Tei. The prices are really identical, but I feel like Tei Tei has better quality ingredients and the authenticity to back everything up. Let's be real though, this is Las Colinas , and given that fact it's a great spot to grab dinner or lunch. Especially given the competing venues in the general vicinity.I found the rolls to be very generous in piece count, while the Sashimi was not quite there so far as bang for your buck goes. The hot stone bowls are an absolute must try, and provide a unique choose your own destiny (Goosebumps books) type dining experience. The guest can customize the ingredients, and the texture by way of cooking time. Also I failed to realize that I had eaten at Little Katana before. In the Galleria mall right outside of Macy's. I always thought they deserved a bigger pad to showcase their spread.The service was top notch, and I had no complaints in that department. The interior is very clean, welcoming, and well laid out. The only negative here is the size of the 2 person tables. They are a touch dinky for their given purpose. I will absolutely make this a staple of my business lunch/dinner rotation."
200,Im only giving it 2 stars because of the customer service was great! So this is my first time here and it's literally 3 minutes from my job and I saw the reviews and pictures which were nice! So I decided to give it shot. I got the 2 for $10 rolls which was the shrimp tempura roll and California roll. There was a funky smell to it that I didn't like which kind of killed my appetite. But still decided to try them. Well I didn't like it . It's not all that I still prefer my sushi from BFF . Honestly I will never come back. I couldn't finish it . So yes it was the worst $10 bucks I've ever spent! & I love sushi. Ugh!
201,"I'm a long time fan of Little Katana, having been a patron at The Galleria's location for almost 2 decades. Their food is always fresh, flavorful, and gorgeous! As well, the service is usually top notch! Last night was my first visit to this new location that is so close to home. The food was promptly delivered and staff was attentive and friendly. We had the No Problem Sushi Roll, the Ahi Tuna stack, the Japanese Red Snapper sashimi, the shrimp and vegetable tempura, the wagyu beef on a hot stone, and the shrimp head sashimi. All of the food was delicious and skillfully crafted. The sushi chef had been a sushi professional for 7 years. They have Kirin and Sapporo as well as a line of craft beer. They have a good selection of Sake as well. I can't wait to go back and try different items!  I also got cheesecake to take home, and I'm having that for a snack when I get home from work today!"
202,"I am confused by this place. Seems to be Korean owned so why not serve Korean food. Sushi is just ok, maybe as good as you might find at a grocery. There are too many excellent sushi places in Dallas to endure this."
203,Honestly the service here was horrible! I have never been treated so poorly before. The lady was in a hurry to get our order in and out in 15 minutes. She kept rushing us to order and to pay just when the food was out. We didn't even get refills on water and had to ask the manager. I didn't see our waitress except when she took our order and gave us our check asking us to pay it now. Her name was soonyoung or something like that. I am very upset at the way we were treated. We didn't even enjoy the food because it felt so rushed and hurried. The food was decent which saved this review but bad service is the biggest thing to lose stars. The sashimi were thick and good and their rolls were okay. Nothing too fabulous. I wouldn't go back here.
204,"Best sushi in the area, hands down!We got the Katana sushi & sashimi combo (size large) and it includes chef's choice of a specialty roll + 8 pieces of sushi + 16 pieces of sashimi. It was super fresh & cut very generously (nice thick pieces). The sashimi was very soft & melted on the tongue. I seriously recommend it!Also I can't stop gushing about the desserts, wow. We tried the Mango cheese cake (which is made in house) and it was sooo worth it. I googled it and discovered it was featured on the Dallas Observer in 2007 as the best cheesecake. It's rich & creamy, but has a nice cakey consistency to it. Hope that makes sense :)Also tried the Mochi ice cream in Mango & Green tea. Usually I'm all about green tea flavored things, but this time I fell in love with the mango mochi ice cream. The mochi was very soft and tasted fresh, unlike the ones you buy in asian supermarkets. Definitely worth it to try!Also not pictured: Wagyu hot stone appetizer and the Charming roll. Wagyu hot stone looked amazing, but we didn't know how to cook it :( We put all the beef on the stone at once, and it got stuck to the rock and burned. Next time we'll put one piece of beef on the hot stone at a time, for like 5 seconds on each side! That's all the time that's needed.Charming roll tastes amazing. Would recommend!"
205,"Had a delicious dinner with family. All the food was exquisite. We were a little disappointed by the service as the main arrived before the appetizer, and the appetizer was served before the soup. We were seated very close to the singer and the pianist (despite all the empty tables). It was a little annoying while ordering as we couldn't hear what the waitress was saying. The singer and the pianist gave a great performance, though."
206,Dude at the front did not let me sit at a table of 4 for some reason. I came with my friend and we wanted to sit at a table of 4 and he had an issue. He told me I can only sit at the table of 4 if I came w 3 more people. However there was 2 people sitting on one of their table of 4s. Literally wanted to try this place but the dude was so rude and started arguing. I feel racially targeted and will make sure not to send any of the muslim community to this location. If there was a 0 star thats what I would give him. Rude people and lying is an automatic no for me. I got up and left. Didnt even wanna eat there after that.
207,Starters were the Kalbi which was  deliciously cooked. Yellowtail was thick sliced unlike other places with super thin amounts. Sake was expensive considering other places would have offered the same thing. However I must applaud the wide variety Katana roll and Katana 101 were delicious but not better than the typical rainbow dragon or spider rolls that I usually order. Service was great. Overall I enjoyed my experience
208,I really liked this place. The bar tender was very nice and fast to keep my glass full. I had some happy hour apps then a roll with no rice with yellow tail that he recommended. It was awesome!! The items are a bit pricey normal menu but they're worth it. I'll be back for sure.
209,"This was a nice but unexpected experience. They have all the F's: Friendly, Fantastic Food, Fresh, Fast, Fun, Fabulous and I could go on. I got a special roll with yellowtail inside and wrapped outside with more yellowtail. It was incredible! The sizzling dumpling soup was good but basic."
210,"Really outstanding food: excellent sushi, good, big food bowls, great selection of everything...and wonderful customer service!"
211,Great little date night spot if you don't want to leave the Las Colinas area.  Excellent service and good drinks.My girlfriend and I were very much impressed with the ambiance and the decor.  She was a big fan of the music selection.Food.  Excellent sushi.  Didn't expect to find such good sushi so close to home.  Their menu consists of more traditional rolls and Japanese entrees.  They even have ramen.  I highly suggest the Lobster roll.  Their tempura was also very well prepared and tasted very good.Priced about as much as a normal sushi place would be.  A hidden gem in Las Colinas.  My girlfriend and I will definitely be back when we're in the mood and don't want to have to drive into Dallas.
212,"I'm giving Little Katana 4/5 and not a 3/5 because the food is a little above average as far as taste and quality. However, they definitely make up for what the food is lacking with their customer service. It's a versatile space that you can go for lunch, dinner, with groups, or for a date, I really like that! The stone bowl is probably one of their best menu options that I have had, I'm not crazy about it but it was good."
213,"Been here twice in the last couple weeks and have been meaning to write a review. Little Katana is simply amazing. Everything I have had there has been tasty and the presentation of the food is generally very nice as well. The Tonkotsu is some of the best I have had in DFW 9./10. Wagyu beef was very good as well. I'd give it a 8.5/10. I've had spicy tuna roll, dragon roll, spicy salmon roll, and I think the special dragon roll (can't quite remember the exact name) all of which have been fresh and tasty with very good texture 8.5/10. Best yet, I have always received A+ service here. It is definitely going to become a staple restaurant for myself."
214,The sushi was amazing. The sashimi was so  fresh and melted in your mouth. Everything was awesome. When I come to Las Colinas for work I usually go to blue fish but decided to try something new. I am so glad I did! Now I have two sushi choices nearby the hotel
215,Great find! Smallish in size that i would call it an intimate setting. Nicely decorated and the staff was very friendly. My hotel is near the airport and there isn't anything close by. Found this on Yelp and decided to give it a try. It was a little difficult to find as it doesn't face the main road but the shuttle driver drove around until he found out. I'm so glad he did! I had the Tuna Poke and a Charming Roll. Delicious! The TP had a little heat to it but it didn't distract from the dish. The Charming Roll was so light but very filling.
216,"SUCH GOOD SUSHI!! We eat a lot of sushi but this is the best. The flavors are genius in the fire roll and white dragon roll, but their simple yellowtail and spicy tuna were just as delicious. The Happy Hour is an awesome deal, half price for pretty much all drinks -- and their lemongrass-infused Mule was perfect with sushi. Plus, the waitstaff gave us friendly and quick service. What a wonderful dinner, we'll be back right away :)"
217,"I have ordered here about 10 times, mostly sushi. The food is always fresh. The order is always correct and the staff is very kind. Pricing is appropriate. I enjoy eating at the restaurant as well. The atmosphere is romantic and enjoyable."
218,"I don't like sushi so I'm just going to put that out there I did not eat the sushi, their prices are amazing during lunch their food was also soo good. I just loved this place, I came at 11 and it wasn't crowded at all but it was getting there when I left. Service was amazing!! I just like this place a lot. Its also really clean, my lunch buddy said her sushi was pretty good also."
219,"Fantastic sushi! Great ambiance and classy decor. High top tables, low top tables and sushi bar are you available seating choices. Friendly staff. Every detail was thought out! It is PRICEY and I haven't seen a happy hour for food/drinks advertised here which are the only two things I'd like to see change."
220,"All of the food I got here was absolutely impeccable. Came here for lunch on a Friday at 1 pm, restaurant was about half full so I was glad we missed the rush. However, whenever we needed a waiter/waitress there never seemed to be one around. For the amount of people there and the number of waitresses/ waiters, it didn't make sense why we had to wait so long for 1) our orders to be taken 2)our waters to be refilled 3)them to give us our checks. Other than that, the food was delicious, I will definitely be back with higher hopes of better customer service."
221,"I'm not sure if I reviewed Little Katana before... if so, consider this an addition, if not, here it goes:1.  The restaurant is pleasing in their decor, lighting, etc.  When you enter you see the whole restaurant (bar, tables and Sushi bar) and can sense the whole restaurant... nice looking.  Something I have noticed in many reviews is people mentioning ""clean"" in the restaurant...  That isn't usually one of the things I am especially looking for...however, if the place is not ""clean"" I notice that real quick. Let me see...food, cleanliness, aahh, yup I'm on the band-wagon on the ""clean"" these days and especially so in a Sushi restaurant.  This restaurant passes!2.  On arrival you are always greeted and welcomed while being seated.  No lag time when we have visited 4-5 times now.3.  We've usually been greeted by our server shortly after seating.  Our server's have mostly been good... we had one woman - I think our 1st visit who wasn't up to par - don't see her any longer?  Other servers have been quite good.  The other night we left a 20% gratuity - don't do that unless the server is really good.  Plus, when he wasn't there, a lovely Asian woman jumped right in to help / serve us.  She was awesome too...  She did something ""very smart service-wise and it was also quite thoughtful"".  Yay, good service!!!4.  Menu...  We have enjoyed our food... appetizers, Sushi presented well and fresh looking and tasting.  They have an interesting menu, lots of choices without offering 1,000 things.  We had Sushi, Seafood Udon, Gyoza, Hamachi Kama - which was A) delicious   B) a very good size portion  C) well priced - not free, not cheap, but a fair price for the good size, well cooked, etc., nice item.  My menu complaint is that they do not offer Bento boxes at dinner... why???5.  I did notice the former owner of Hanasho at their Sushi Bar and thought that was odd until I learned Hanasho had closed.  I also noticed the exec. chef around...  The VP of their parent company, a mature Japanese gentleman, came by our table and he also bid us good night.So, we like Little Katana and it's become our go-to place for Sushi in our neighborhood.  Keep up the quality Katana and we're back time and again."
222,This is one of my fav spots for sushi!! Way better than Blue Fish!! Their food has never disappointed me. Highly recommend!!
223,"Meh alright. Definitely have had better sushi. I came here for lunch. It was decently priced. I got the avocado egg rolls which were delicious but small. I also go the chicken soup, but it had very minimal broth so I was disappointed. I got the salmon teriyaki bento box. The salmon was delicious, the sushi was subpar. The salad was weedy. The tempura was tasty. Service was not that great either and the restaurant was empty. I'd be interested to come here again for dinner to see why it's earned so many stars."
224,"Best dining experience in a while! Great service, amazing food, and live music. We had the wagging Hot Rock appetizer, Seafood Stone Bowl, and Katana 101Roll. For dessert we had flourless chocolate cake, and bread putting with the red bean ice cream. Everything was amazing. I will order the same thing next time!"
225,We are excited to hear that Chef Yuji Suzuki from Hanasho is now at this Little Katana location.Hansho has closed after a wonderful run.Chef Yuji Suzuki is now at Little Katana Las Colinas! Please support Chef Suzuki by visting Little Katana Las Colinas!
226,We enjoyed our first trip to this restaurant and I also went with friends.  The staff was extra eager to get us whatever we needed.  Maybe they were slightly too eager and that's why I'm not giving it a five star but it certainly was enjoyable.My wife had the tenderloin and for the price it was a decent size portion. I had a bowl of their Korean style beef.
227,"This place had great reviews and did not disappoint! Our waitress was so sweet and attentive, very professional. The sushi was delicious and the restaurant was very classy! 10/10 would go again! The angel roll doesn't have rice it was wrapped in cucumber and was really delicious. We had two other rolls that were great and the half off sake Monday was pretty sweet for dessert. Yayyyyyyyyyyyyyy yayyyyyyyyyyyyyy go here"
228,"I searched restaurant options for an hour before deciding on Little Katana while visiting Dallas/Irving for work. I chose it specifically because I was in the mood for sea bass. I am SO glad I did. Best meal and service I've had the pleasure of enjoying in quite some time. The flavors danced on my palate - from the sea bass with roasted veggies and wasabi mashed potatoes, to the ginger vanilla creme brulee - it was a beautiful meal! The quality of the experience could've demanded a much higher cost, but I found the pricing to be very reasonable. This will be my first stop the next time I'm in town."
229,Great sushi and service.  Special Dragon Roll was awesome.  I was also very happy to find that they had Yamazaki wiskey.  We will definitely be coming back soon.
230,great sushi- large and fresh fish! will get again
231,"Just had an excellent dinner here with the family. Half of us are vegetarian. We got the avocado roll, veggie roll, the yakisoba noodles, and the hot stone rice bowl. Favorites were the avo roll (which they made from scratch for us without the sun dried tomato, which we didn't care for) and the hot stone rice bowl. The noodles were just okay. The non-vegetarians' favorites were the jalapeño poppers and the orange ginger salmon. Our waitress was incredibly friendly as well."
232,"This place is amazing! The staff is so nice and accommodating, food is excellent and the quality of fish is great. The jalapeño poppers are to die for, check out the Charming Roll. I'm definitely a regular here."
233,Stopped in randomly and glad I did! Fish was so fresh and the staff was so friendly! I will definitely be back!
234,"I was skeptical at first that a strip mall sushi place but have the ambience I was looking for. Boy was I wrong. It was a great happy hour and while a limited selection of craft beers, a great bartender who knew what she was doing and the Deep Ellum IPA was all I needed. The sushi was equally fresh and tasty. Rarely am I impressed with sushi bars in their ability to create some happy hour ambience. Normally I feel like I'm just there to eat sushi and that's it, but I had a great time T the bar with an interesting local crowd. Definitely would come back here again."
235,"I was a huge fan if this place. Went at least once a week from the time it opened in Irving  Until I nearly choked to death on a piece of fish with skin and gross stuff on it that was in my  sushi.  I ran to bathroom  trying to choke it up.  Had to put my finger in my throat to throw up.  Threw up just in time.  I thought I was going to die.  I told the manager and he gave me a 10% discount even though I hadn't eaten but the one bite that choked me!  I would NEVER RECOMMEND EATING  HERE!   Never back.  Couldn't believe how they treated me with total disregard.  I was a frequent Customer, but that shouldn't have mattered.  I couldn't  bye believe they didn't care I had nearly choked to death getting that chunk of fish and skin  out off my throat.  I even called and left them a message telling them again what happened and left my phone number but never received a call back.  DON'T risk it.  Don't go!"
236,This place was a real surprise.  The Shanghai noodles were tasty and the thick noodles were a treat and had a bunch of good seafood.  I did end up with a messy shirt from slurping the noodles.  The maguro was fresh and the cut was generous.
237,"I visited this restaurant twice with friends for dinner.  Price and quality is not bad for the dinner, nice ambience and display. Today I ordered a take out from their lunch menu. I got a oyster mushroom tofu soup for 8 dollars plus I tipped. It was a small bowl of soup, 2/3 of the way full. Nothing came with it, not even a small bowl of rice.  For spending close to $10 for lunch it was very disappointing.  Soup was good but I suggest Fast and furious across the street is way better for lunch or even Wholefoods."
238,Love the sushi here!!! So glad I found this place. I will be back and when I do I will be bringing friends with me!
239,"We sat at our table for 10-15 minutes but a waiter never came, so we left. Not even someone saying ""I'll be with you soon."" Multiple waiters went past us multiple times each but not one even paid attention to us. We saw another couple had the same problem and they went up to the guy who was seating people and complained to him. Pretty bad to not even serve customers. This was 7:30 on a Friday night and the restaurant wasn't even full, we were seated immediately after walking in. This was on 6/1 I believe. I was very disappointed as I had heard so many great things about this place and had anticipated trying it for a long time. We ended up eating a different sushi place. One star can be given for the very nice decor and live music they had."
240,Pricey for a strip mall in Irving but food and service was very good.
241,"The food was great, service excellent, atmosphere cozy & pleasant. Family friendly yet could be very special for a date night too."
242,"Never thought I would find something like this in Irving, but definitely an unforgettable experience here. Sat at the sushi bar and the Sushi Chef Nuke prepared us the most amazing meal."
243,"Delicious food and superb service. My server Akemi was very sweet and attentive. I ordered the avocado rolls which came out piping hot and perfect. I also go the hot stone bowl with combo meat (chicken, beef & shrimp). I ate way too much because I just kept wanting one more bite. The room is lovely as well with plenty of seating and a full bar."
244,"This is my first time visiting. I ended up going with the seaweed salad and spicy tuna (as usual). It was ok. I asked my spicy mayo but they didn't give much. Also, their spicy mayo isn't that good. It was edible, but not that good."
245,"It all started with a great ambience, warm greetings, and all the attention I received at Little Katana. A wide variety of Japanese cuisines, warm Saki, oyster shooters, and exceptional service made it a great experience.They also have a great Ramen selection."
246,"What drew me in was their menu because I love sushi and Chilean sea bass. I'm from CA so I wasn't sure what to expect from a TX sushi restaurant but was pleasantly surprised by their food. We ordered the Chilean sea bass (pretty good), the Charming roll (would order again), and the Special Dragon roll (it was OK). It was a cute little restaurant with great service. I would go back the next time I'm in Dallas and staying at the Hyatt House"
247,Little Katana is consistently excellent quality sushi and customer service.  We've been going here for a couple years now and they still far outshine the competition.  Highly recommend  Little Katana if you're looking for great sushi!
248,"Great tasting shuhi, tastes and smells fresh. Good atmosphere and great interior design, however it is a little dark. The shuhi has good flavor"
249,Not high quality fish used. Same prices as high end sushi but not even near the quality levels. Service is alright but you'll find here rolls with tons of sauce and fried vs fresh. Better off going elsewhere.
250,"Love this place! I go two or three times a month. Their sushi is fresh, their appetizers are delicious and their hot stone bowls are sooooo good. I've had the crap stuffed jalapeños, all types of sushi and their chicken stone bowl, and they never disappoint me. The staff is attentive and the environment is very welcoming. If you're looking for some good food, i highly recommended this restaurant!"
251,"This was our favorite place in Irving. Everything tasted great, my favorites are Ahi Tower and Katana 101 roll. All of the waiters are good and friendly."
252,Got a sushi roll w/ the piece of wasabi in it. Other sushi rolls were boring as well. Overall not a good experience.
253,"The katana roll and jalapeño poppers were delicious, it wasn't to spicy and very flavorful. What made the experience better was the waitress and host, they were so sweet. Great customer service"
254,"This is my favorite place to go for sushi. I never order off the menu. I tell Nuke what I'm craving and he creates the most amazing tasting food. Nuke does an awesome job educating and keeping you laughing while preparing your food. The staff, atmosphere and experience keep me coming back."
255,"I had the fire roll and filet mignon, the sushi was delicious and the steak was cooked perfectly. The server was really attentive, without being a hover-er, and the live band was great. It was really nice to eat to some nice acoustic music. Little Katana will be one of my regulars when I'm in town."
256,"Visiting the area because we need to fly out of Dallas instead of Houston due to Hurricane Harvey. Read the reviews and was intrigued. My husband, teenage daughter and I all had the Omakase which is a chef's choice menu. It was amazing - baby octopus appetizer, several sashimi selections, sushi, spicy scallop and tuna and a grand finale unit shooter. All delicious and prepared by Nuke, their phenomenal sushi chef. Highly recommend."
257,This was my first experience with ramen and it was delicious. I had the pork bone broth. We also had the sizzling dumplings and shrimp tempura Sushi. He had the combo fried rice. Everything was so good!! Would love to come come back one day.
258,Had lunch here on a Thursday at 12:30. There was a decent crowd but we were seated and helped immediately. The food and service was excellent. It is a little pricey for lunch but I believe it's appropriately priced for the quality.
259,Nuk is a 12 on a 10 point scale. Service is impeccable. Drinks fantastic. Sushi served with a reverence for the craft. Nuk is an artist.  Do not miss! Holly is the best server. She will deliver the meal of your dreams. Go for it.
260,"Amazing sushi and service. I was scared when the one in Dallas closed, but I will be dining at the new location often. Loved it. The crab dynamite, Louisiana roll, and blue crab rolls were out of control good!"
261,"Was a table of 4, service was good but sushi was NOT fresh. Ordered a No problem roll, spider roll, Mama roll, Avocado roll,  cajun roll, and Ahi tower. As I got my order I could tell the crab meat was not fresh and looked to be an imintation of crab. So i asked my server if the crab meat was fresh and she told me no it wasnt and it would be a up charge for real crab meat. We also asked for a side of real wasabi and, the waitress told us it would be a also a up charge of $3.00 and then given wasabi paste instead."
262,"Great food, Great Service! Ate at the Sushi bar. Nuke was my Sushi Chef, and he was awesome! Had a wonderful time, thanks Nuke!"
263,Very good service and the fish is of very high quality. They have really done a great job with the menu. The vibe is amazing when with live music in the evenings.
264,"I have been here multiple times now and every time I go the service is fantastic and the food is even better. Holly is always very nice and attentive to make sure we are taken care of. We sat at the sushi bar this past time and Nuke, the sushi chef, was great. He made a specialty roll and was constantly making sure we were satisfied. The manager has been out on the floor each time making sure everyone is happy. We will continue to come back!!"
265,I was never a sushi fan but I am a fan now. All thanks to Little Katana. It's a good up market restaurant with good crowd around. Out and out a niche place. Do try the shrimp tempura. It's a thumbs up from end side. Adios
